-0.00013077,-8.6488e-05,0
0.0013183,0.0013586,0.016667
0.0054807,0.00543,0.033333
0.012612,0.012317,0.05
0.022063,0.021895,0.066667
0.033905,0.034151,0.083333
0.049322,0.048932,0.1
0.066792,0.066727,0.11667
0.087137,0.087022,0.13333
0.11036,0.11018,0.15
0.13614,0.13616,0.16667
0.16474,0.16491,0.18333
0.19622,0.196,0.2
0.23025,0.23015,0.21667
0.26702,0.26685,0.23333
0.30643,0.30648,0.25
0.34845,0.34846,0.26667
0.39358,0.39351,0.28333
0.44133,0.44122,0.3
0.49159,0.49165,0.31667
0.54475,0.5448,0.33333
0.60055,0.60048,0.35
0.65899,0.65887,0.36667
0.72032,0.72022,0.38333
0.78421,0.78418,0.4
0.8511,0.85125,0.41667
0.92034,0.92039,0.43333
0.99251,0.99269,0.45
1.0674,1.0675,0.46667
1.1448,1.1452,0.48333
1.2256,1.2254,0.5
1.3085,1.3084,0.51667
1.3942,1.3942,0.53333
1.4829,1.4828,0.55
1.5739,1.574,0.56667
1.668,1.668,0.58333
1.7646,1.7648,0.6
1.8641,1.8641,0.61667
1.9662,1.9662,0.63333
